unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
409,material,carpet,0.022739200587234516,orange-c,30348501.0,3214453.0,323609.0,0.009735721326638656,floor,20378155.0,1443448.0,298964.0,0.013890675767037676,drawer,540514.0,363592.0,12229.0,0.013711531971336854,carpet,4405463.0,1045110.0,121186.0,0.022739200587234516,mountain_snowy-s,1793792.0,1150458.0,38322.0,0.0131875256372491,zigzagged,1618176.0,127955.0,21082.0,0.012221102125214994
400,part,arm,0.02266777557607301,black-c,139916835.0,2917911.0,1681875.0,0.0119152730517256,person,14523849.0,1320826.0,308204.0,0.01983745214727334,arm,2299112.0,465114.0,61270.0,0.02266777557607301,fabric,8548746.0,481133.0,147396.0,0.01659400867978019,topiary_garden-s,137984.0,599042.0,9850.0,0.01354555155835726,,24924928.0,136462.0,102976.0,0.004125903192406377
417,object,mountain,0.02258833517789775,blue-c,61494563.0,2894321.0,574449.0,0.00900186611383459,mountain,5469345.0,2378818.0,173361.0,0.02258833517789775,body,1291612.0,432663.0,14265.0,0.008342056479201877,wallpaper,479323.0,183332.0,1167.0,0.0017642043393077422,skyscraper-s,4402944.0,1197831.0,80012.0,0.014492924257027516,,24924928.0,237542.0,198588.0,0.007955012766043358
372,object,person,0.02247694692157738,black-c,139916835.0,2519198.0,1382789.0,0.009803312286812773,person,14523849.0,842637.0,337799.0,0.02247694692157738,arm,2299112.0,483831.0,60300.0,0.02214759702245208,fabric,8548746.0,726442.0,55245.0,0.005991902552976738,casino-indoor-s,652288.0,326253.0,16094.0,0.016721959754667007,,24924928.0,70413.0,52740.0,0.0021144547034208662
383,texture,grid,0.02243267345144712,black-c,139916835.0,2354942.0,1701381.0,0.01210340902788664,stage,281762.0,791595.0,12574.0,0.01185350821044455,screen,677188.0,127205.0,14567.0,0.018443302702114132,leather,470954.0,407488.0,6638.0,0.007614096746516418,fountain-s,188160.0,322664.0,3544.0,0.006986279766598327,grid,1682240.0,253086.0,42462.0,0.02243267345144712
127,scene,excavation-s,0.022388812345228302,orange-c,30348501.0,3021498.0,302596.0,0.009150884936443301,train,1646804.0,2148065.0,78186.0,0.0210364994808543,coach,689166.0,584847.0,15083.0,0.011980809099791092,wood,9793596.0,374090.0,54655.0,0.005404413375179014,excavation-s,150528.0,1076084.0,26861.0,0.022388812345228302,,24924928.0,254343.0,213279.0,0.008542780915735293
294,part,shop window,0.022292450971517417,red-c,21004512.0,3029010.0,200399.0,0.008408423856160184,bottle,940208.0,1790914.0,47305.0,0.01762601548466233,shop window,233888.0,534054.0,16746.0,0.022292450971517417,paper,471596.0,487131.0,11177.0,0.011795683605086801,gas_station-s,301056.0,1034798.0,24193.0,0.018444552365283407,,24924928.0,143926.0,118204.0,0.004737511848388719
439,scene,art_gallery-s,0.02213791615733084,brown-c,182265724.0,2536973.0,803589.0,0.004367352693905451,floor,20378155.0,1080727.0,219613.0,0.010339950965355728,outside arm,97883.0,168641.0,4561.0,0.0174108557315346,metal,3462561.0,842781.0,42055.0,0.009864454351771298,art_gallery-s,953344.0,823515.0,38484.0,0.02213791615733084,chequered,1530368.0,81936.0,7797.0,0.0048594365745989266
477,scene,japanese_garden-s,0.02213463485285239,red-c,21004512.0,2931109.0,321036.0,0.01359481862586194,plant,3760075.0,1843895.0,111355.0,0.020273585532574193,balcony,317196.0,239452.0,5153.0,0.009343693052520873,carpet,4405463.0,360852.0,41121.0,0.008702499833869256,japanese_garden-s,125440.0,1105344.0,26653.0,0.02213463485285239,cracked,1593088.0,338966.0,18944.0,0.00990220112800623
4,object,track,0.022039578151478275,yellow-c,34166024.0,3070971.0,271584.0,0.007346976339584051,track,493725.0,1517654.0,43374.0,0.022039578151478275,top,381885.0,365106.0,8516.0,0.011531873116896305,granite,1315719.0,790452.0,16416.0,0.007855466310644071,formal_garden-s,137984.0,876925.0,14193.0,0.014182845082920626,,24924928.0,184051.0,164287.0,0.006586050451134053
353,material,painted,0.021778966737215667,yellow-c,34166024.0,2183226.0,234469.0,0.006492327892006323,wall,48917895.0,688064.0,474573.0,0.009659263428880268,water tank,81859.0,48042.0,695.0,0.0053790071668498324,painted,13470129.0,575729.0,299384.0,0.021778966737215667,nursery-s,827904.0,500979.0,10273.0,0.007790779684667946,,24924928.0,22098.0,18875.0,0.0007571760938065563
449,scene,airplane_cabin-s,0.021752578238508232,white-c,72511065.0,2844637.0,401849.0,0.005361285429849751,seat,1488057.0,1333464.0,36645.0,0.013158575103523461,garage door,63629.0,276356.0,3501.0,0.010404655199058496,glass,2246777.0,636891.0,25538.0,0.008935212883948596,airplane_cabin-s,275968.0,870326.0,24404.0,0.021752578238508232,,24924928.0,143746.0,119628.0,0.004794892758624919
3,object,case,0.021693887159053484,yellow-c,34166024.0,2695372.0,227432.0,0.006208227971179968,case,608750.0,1413832.0,42946.0,0.021693887159053484,pot,422616.0,253333.0,5486.0,0.008182405293058677,food,1104928.0,445025.0,32388.0,0.02134208419408724,bakery-shop-s,715008.0,748449.0,20582.0,0.01426457593346617,potholed,1580544.0,258399.0,15473.0,0.008485470010474535
433,scene,clothing_store-s,0.021602936877608832,orange-c,30348501.0,2945220.0,184325.0,0.005567150787045466,apparel,217035.0,1683575.0,37026.0,0.019868168003159502,torso,7669375.0,360785.0,62808.0,0.007883171221755986,food,1104928.0,299083.0,8922.0,0.006395290909755579,clothing_store-s,413952.0,962991.0,29117.0,0.021602936877608832,stratified,1568000.0,549806.0,39555.0,0.019032830971812357
265,scene,building_facade-s,0.02153824052209325,grey-c,159331282.0,2854213.0,664711.0,0.004115327969185687,building,35246027.0,1743743.0,753889.0,0.020805041279388238,windows,68737.0,365957.0,7302.0,0.017085017969451926,granite,1315719.0,487534.0,13629.0,0.007615566174794259,building_facade-s,3148544.0,1274357.0,93253.0,0.02153824052209325,,24924928.0,146552.0,119382.0,0.004784447383943426
55,texture,waffled,0.021030391712744335,brown-c,182265724.0,2985762.0,1008858.0,0.005475703483777923,bed,5899566.0,1337879.0,92712.0,0.012976272171402346,seat cushion,340448.0,482690.0,12955.0,0.0159902145564644,metal,3462561.0,690938.0,45296.0,0.011025745319790673,pagoda-s,137984.0,700311.0,10970.0,0.01325960172846221,waffled,1555456.0,403206.0,40343.0,0.021030391712744335
94,object,water,0.020897711368142845,blue-c,61494563.0,2989364.0,452764.0,0.007070994478110604,water,5662399.0,1787160.0,152492.0,0.020897711368142845,wing,323329.0,454733.0,13920.0,0.01821650949692596,fabric,8548746.0,311755.0,26433.0,0.002992166236438298,marsh-s,188160.0,893624.0,21605.0,0.02037863417404042,potholed,1580544.0,298083.0,38453.0,0.02089639349322401
338,object,car,0.020591155820505892,black-c,139916835.0,2863369.0,1033700.0,0.007292596084062857,car,5354795.0,1626073.0,140844.0,0.020591155820505892,coach,689166.0,416418.0,14548.0,0.013334115464567623,metal,3462561.0,456923.0,29822.0,0.007666990088084774,bakery-shop-s,715008.0,757457.0,19907.0,0.013704788380223027,spiralled,1605632.0,268284.0,22726.0,0.012276427595222532
496,part,leg,0.019654468173214135,white-c,72511065.0,2859901.0,556477.0,0.007438091303410493,bird,1030707.0,1838707.0,33518.0,0.011819192241182329,leg,2786636.0,680283.0,66827.0,0.019654468173214135,fabric,8548746.0,428415.0,55772.0,0.0062514929009372866,water_tower-s,275968.0,715895.0,11645.0,0.011880010365041245,freckled,1555456.0,287676.0,15755.0,0.008621647311966825
24,object,person,0.019595988262392616,red-c,21004512.0,2807962.0,184329.0,0.007801247199050116,person,14523849.0,1485160.0,307683.0,0.019595988262392616,hand,398768.0,763904.0,17118.0,0.01494298828339825,fabric,8548746.0,558657.0,102814.0,0.011417955888936186,poolroom-home-s,1317120.0,637877.0,25145.0,0.013029496562430694,frilly,1618176.0,239479.0,15437.0,0.008379572884425188
203,object,sky,0.019525997956233273,blue-c,61494563.0,2931714.0,609351.0,0.009548422937200077,sky,36650987.0,2589281.0,751531.0,0.019525997956233273,roof,443437.0,525430.0,8996.0,0.00937209270829101,wallpaper,479323.0,88178.0,764.0,0.001348067975092503,beach-s,990976.0,1507219.0,43188.0,0.01759180320056114,,24924928.0,203029.0,158070.0,0.006330425123669963
328,object,bench,0.01947707913765713,red-c,21004512.0,3113081.0,182127.0,0.007609085196001615,bench,486371.0,2078616.0,49004.0,0.01947707913765713,roof,443437.0,262542.0,10965.0,0.015776660614030793,brick,422313.0,274762.0,4643.0,0.006705351572428772,church-indoor-s,301056.0,1305789.0,25723.0,0.01626882682044776,stratified,1568000.0,376196.0,30608.0,0.015995083581209747
250,scene,bank_vault-s,0.019300707611056834,black-c,139916835.0,2620015.0,717402.0,0.005058558682304278,door,5745972.0,763486.0,113542.0,0.017752265664527176,door frame,221497.0,212785.0,6469.0,0.015121092626918766,metal,3462561.0,781920.0,36667.0,0.008714025857606824,bank_vault-s,125440.0,457811.0,11044.0,0.019300707611056834,studded,1593088.0,72372.0,9440.0,0.005700414246204756
252,part,roof,0.019195952612723572,grey-c,159331282.0,3107173.0,766685.0,0.004742231745220578,railing,875712.0,1912410.0,42380.0,0.015434807786019225,roof,443437.0,326112.0,14494.0,0.019195952612723572,wood,9793596.0,473668.0,107596.0,0.010590503547950582,nursery-s,827904.0,960160.0,27234.0,0.015466569742678168,grooved,1505280.0,333753.0,19570.0,0.010755920840379827
384,texture,crystalline,0.01917553939448942,red-c,21004512.0,2841057.0,159214.0,0.006721760270839477,smoke,96357.0,1554882.0,20944.0,0.012846754728438717,head,4946761.0,532328.0,101131.0,0.018804721048397924,food,1104928.0,426995.0,10713.0,0.007042420178673556,classroom-s,639744.0,841510.0,19630.0,0.013430266607554336,crystalline,1530368.0,401201.0,36342.0,0.01917553939448942
135,scene,playground-s,0.0191388494067125,yellow-c,34166024.0,3042721.0,320402.0,0.00868572491857387,court,244272.0,1879690.0,26581.0,0.012673424618607683,crosswalk,241792.0,419682.0,6260.0,0.009554130406248949,carpet,4405463.0,475659.0,34241.0,0.0070645431567228495,playground-s,439040.0,1074584.0,28425.0,0.0191388494067125,zigzagged,1618176.0,473017.0,36872.0,0.017948509507520978
152,object,tree,0.01904307270501967,black-c,139916835.0,2612336.0,1705594.0,0.012111565664888628,tree,21215516.0,1668691.0,427642.0,0.01904307270501967,hair,1159565.0,349555.0,22605.0,0.015206708307686098,brick,422313.0,354812.0,4810.0,0.006228028718851763,forest-broadleaf-s,1216768.0,797768.0,24742.0,0.01243445301372906,,24924928.0,141406.0,114427.0,0.004585901991378856
249,scene,hayfield-s,0.018979996230217008,yellow-c,34166024.0,3133374.0,242512.0,0.006544316756675129,tent,221716.0,1862249.0,35482.0,0.017321110304552197,body,1291612.0,601408.0,28978.0,0.015545787058446107,fabric,8548746.0,388588.0,76001.0,0.008576700593466017,hayfield-s,200704.0,864286.0,19837.0,0.018979996230217008,frilly,1618176.0,378675.0,25164.0,0.012762674805889575
68,scene,hayfield-s,0.018777664680119245,orange-c,30348501.0,2911215.0,537081.0,0.01641313421122718,field,1883336.0,1403658.0,49979.0,0.015439841953157462,roof,443437.0,192485.0,4218.0,0.006677177918772082,carpet,4405463.0,657495.0,67169.0,0.01344512348299738,hayfield-s,200704.0,979337.0,21750.0,0.018777664680119245,,24924928.0,94844.0,76686.0,0.0030744391451803517
177,scene,water_tower-s,0.017672185153131018,red-c,21004512.0,3070773.0,122609.0,0.005118801757265034,chair,4633108.0,1764403.0,104501.0,0.016605884942181882,back,593570.0,385197.0,12340.0,0.012768682994163035,fabric,8548746.0,573974.0,59586.0,0.006574546950315421,water_tower-s,275968.0,1145660.0,24687.0,0.017672185153131018,honeycombed,1555456.0,166891.0,14709.0,0.00861365230804187
382,scene,dentists_office-s,0.017337514049459594,yellow-c,34166024.0,2942586.0,206637.0,0.005599619294068639,shelf,1919975.0,1099665.0,46673.0,0.01569913154098246,drawer,540514.0,379037.0,10235.0,0.011255713085440044,tile,3959469.0,938136.0,27437.0,0.005633686558656703,dentists_office-s,301056.0,809550.0,18927.0,0.017337514049459594,,24924928.0,100656.0,100186.0,0.004019434313546367
444,scene,skyscraper-s,0.016407675097543165,brown-c,182265724.0,2896687.0,871841.0,0.004730795504078152,building,35246027.0,1595812.0,415176.0,0.011397585334676415,column,193649.0,373343.0,4014.0,0.007129941134467065,paper,471596.0,517024.0,2577.0,0.0026134762885594237,skyscraper-s,4402944.0,1190816.0,90299.0,0.016407675097543165,,24924928.0,96623.0,94740.0,0.0038007268559143003
