unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
325,texture,zigzagged,0.042269919489172685,orange-c,30348501.0,2557505.0,144715.0,0.004417255718036264,painting,2207098.0,1246749.0,46792.0,0.01373385519165379,screen,677188.0,444698.0,19133.0,0.017350213511094507,glass,2246777.0,625324.0,26679.0,0.009376113630948238,living_room-s,9621248.0,735481.0,54278.0,0.005268455050162335,zigzagged,1618176.0,183867.0,73083.0,0.042269919489172685
32,object,book,0.0421921790927428,orange-c,30348501.0,2793697.0,339575.0,0.010352068491595931,book,615007.0,1368020.0,80281.0,0.0421921790927428,nose,155124.0,418453.0,16345.0,0.029332486289373183,food,1104928.0,296449.0,15409.0,0.011117861307043165,bookstore-s,401408.0,816032.0,33419.0,0.028225006144316698,woven,1781248.0,506525.0,72955.0,0.032939501123794374
244,part,hair,0.04214676630873345,black-c,139916835.0,2126864.0,873772.0,0.006189505219479217,person,14523849.0,1219338.0,218061.0,0.014045683107499417,hair,1159565.0,642016.0,72860.0,0.04214676630873345,leather,470954.0,293760.0,5903.0,0.0077792757353280315,topiary_garden-s,137984.0,532490.0,3822.0,0.005733126128774832,bumpy,2082304.0,154998.0,9460.0,0.004246261628966507
260,color,red-c,0.04186615090745598,red-c,21004512.0,2492862.0,944214.0,0.04186615090745598,car,5354795.0,1212232.0,89373.0,0.013797124699775567,hand,398768.0,500421.0,17380.0,0.019709483572973283,food,1104928.0,410202.0,37891.0,0.02564987791413576,ball_pit-s,275968.0,582196.0,11622.0,0.013728793137257216,paisley,1555456.0,421404.0,47664.0,0.02470666536733437
266,texture,cracked,0.04180718884493003,pink-c,18491188.0,2086302.0,146275.0,0.007159388220426441,bicycle,1152271.0,868529.0,27822.0,0.013960013607776905,wheel,1513439.0,446625.0,39092.0,0.020350114421240913,food,1104928.0,312154.0,13819.0,0.00984776196621731,ball_pit-s,275968.0,315293.0,3761.0,0.0064017021276595735,cracked,1593088.0,505643.0,84221.0,0.04180718884493003
332,part,wheel,0.04166201675244525,pink-c,18491188.0,2392146.0,204157.0,0.009872588256292792,signboard,661129.0,1262075.0,38424.0,0.02038646420271862,wheel,1513439.0,773406.0,91464.0,0.04166201675244525,glass,2246777.0,318674.0,24978.0,0.00983202734293968,fastfood_restaurant-s,301056.0,486748.0,3770.0,0.004808464939020501,paisley,1555456.0,171525.0,26713.0,0.015711052610529633
96,object,dog,0.041569850044861564,orange-c,30348501.0,2211039.0,162762.0,0.005024018129210257,dog,3793935.0,1231476.0,200568.0,0.041569850044861564,head,4946761.0,837222.0,229053.0,0.04123418296900231,fur,103280.0,346420.0,5285.0,0.011892037847507394,ball_pit-s,275968.0,293953.0,2636.0,0.004646694342349964,studded,1593088.0,250181.0,13127.0,0.007172667476075627
376,texture,perforated,0.04141770390396901,red-c,21004512.0,2859322.0,156317.0,0.006593562708401728,curtain,3110939.0,1166221.0,33054.0,0.007788212641248828,roof,443437.0,149045.0,6638.0,0.011330661404742558,food,1104928.0,225673.0,14808.0,0.011254049839146432,fence-s,150528.0,629503.0,5014.0,0.006469535506963072,perforated,1793792.0,1097899.0,115004.0,0.04141770390396901
126,part,wheel,0.04141306871224432,red-c,21004512.0,2704687.0,115453.0,0.004893373015035425,bicycle,1152271.0,1257971.0,48535.0,0.020550813458231693,wheel,1513439.0,594933.0,83842.0,0.04141306871224432,ceramic,679072.0,485154.0,15208.0,0.013235649920192721,subway_station-corridor-s,188160.0,497210.0,5423.0,0.007975621629332873,spiralled,1605632.0,349413.0,48337.0,0.02535102385892334
68,color,red-c,0.04141018407057715,red-c,21004512.0,2444541.0,932418.0,0.04141018407057715,flower,591549.0,1211494.0,14452.0,0.008080103276825165,arm,2299112.0,481289.0,21345.0,0.007736341705278907,food,1104928.0,617495.0,16951.0,0.009939183991293905,ball_pit-s,275968.0,591907.0,8639.0,0.01005428077966938,smeared,1869056.0,294042.0,19817.0,0.009246104453872358
42,texture,zigzagged,0.04125979292513219,red-c,21004512.0,2284984.0,98525.0,0.004248420646121286,house,1833277.0,1279298.0,22514.0,0.007285940309916212,ear,784263.0,521112.0,35904.0,0.028282646866293126,fabric,8548746.0,426501.0,34433.0,0.003851215336769113,abbey-s,401408.0,683987.0,6983.0,0.006475261773793318,zigzagged,1618176.0,206940.0,72320.0,0.04125979292513219
54,part,neck,0.04122403822963582,pink-c,18491188.0,2521254.0,115829.0,0.005542955693346094,person,14523849.0,1222831.0,386844.0,0.025185425156883184,neck,812426.0,672701.0,58799.0,0.04122403822963582,food,1104928.0,622997.0,9750.0,0.005674625692959099,swimming_pool-outdoor-s,263424.0,491714.0,4122.0,0.005488564824184837,braided,1568000.0,108826.0,5513.0,0.0032986041513468753
197,color,red-c,0.04121613442090014,red-c,21004512.0,2029061.0,911775.0,0.04121613442090014,bus,1628191.0,1095446.0,33147.0,0.012320060658095737,pot,422616.0,419514.0,8603.0,0.010321201352805606,plastic-opaque,577397.0,425890.0,5730.0,0.005744032671817249,bar-s,765184.0,548067.0,7875.0,0.006032744588532347,zigzagged,1618176.0,137045.0,7130.0,0.004078735031528679
311,object,skyscraper,0.040967656908955596,black-c,139916835.0,2940669.0,623271.0,0.004382004155075663,skyscraper,1270392.0,1683691.0,116259.0,0.040967656908955596,roof,443437.0,356154.0,10442.0,0.01323197520366876,brick,422313.0,327432.0,7755.0,0.01045162333724174,skyscraper-s,4402944.0,1066087.0,189859.0,0.03596378371456736,lacelike,1530368.0,300406.0,27652.0,0.015335623435352682
